fips,year,num_M,num_F
06037,1992,1,0
06037,2020,1,0
06037,2020,0,1
06037,2012,0,1
17031,2016,0,1
17031,2018,1,0
06037,2000,1,0
17031,2012,0,1
17031,2018,0,1
17031,2000,1,0
06037,2016,0,1
06037,2018,1,0
17031,1992,1,0
06037,2012,1,0
17031,2020,0,1
06037,2018,1,0
06037,1996,1,0
06037,1996,1,0
06037,1998,1,0
04013,2020,1,0
17031,2014,0,1
17031,2014,1,0
17031,2010,1,0
17031,2002,1,0
04013,2020,0,1
17031,2010,0,1
3651000,1993,1,0
04013,2020,0,1
06037,2014,1,0
3651000,1989,1,0
17031,2006,1,0
48201,2020,1,0
17031,1998,1,0
3651000,1993,1,0
3651000,1989,1,0
17031,2002,1,0
04013,2020,1,0
04013,2016,1,0
17031,2020,1,0
48201,2020,1,0
06037,2000,1,0
17031,1996,1,0
17031,1992,1,0
17031,1998,1,0
3651000,2013,1,0
3651000,1997,1,0
3651000,2017,1,0
17031,1994,1,0
3651000,2021,1,0
04013,2012,1,0
3651000,2005,1,0
04013,2016,1,0
3651000,2001,1,0
04013,2008,1,0
17031,1990,1,0
26163,2008,0,1
17031,1990,1,0
3651000,2001,1,0
48201,2020,1,0
06037,1998,1,0
48201,2016,0,1
17031,1996,1,0
17031,1990,1,0
48201,2016,1,0
12086,2012,0,1
17031,1994,1,0
48201,2016,1,0
04013,2012,1,0
06037,1990,1,0
04013,2016,1,0
48201,2020,1,0
26163,2008,1,0
26163,2020,1,0
04013,2016,1,0
17031,2004,1,0
48027,2016,1,0
06037,2002,1,0
26163,2012,0,1
04013,2004,1,0
04013,2008,1,0
06037,2010,1,0
48201,2008,1,0
04013,2000,1,0
48201,2012,1,0
48201,2012,0,0
04013,2010,1,0
26163,2020,0,1
48201,2016,1,0
04013,2012,1,0
48201,2004,1,0
06037,2004,1,0
48201,2012,1,0
17031,2008,0,1
26163,2016,1,0
48201,2016,1,0
04013,2004,1,0
25017,2016,1,0
48201,2016,1,0
48201,2012,1,0
3651000,2009,1,0
FL-17 JUDICIAL CIRCUIT,2020,0,0
48113,2020,0,1
26163,2012,1,0
12011,2020,1,0
1714000,1989,1,0
12086,2020,0,1
04013,2000,1,0
12011,2004,1,0
12011,2016,1,0
48201,2008,1,0
48201,2004,1,0
17031,2016,1,0
48201,2004,1,0
48201,2008,0,1
26163,2016,0,1
53033,2018,1,0
48201,2008,1,0
04013,2008,1,0
48201,2012,1,0
1200180,2020,0,1
04013,2008,0,0
3651000,1997,0,1
06037,2006,1,0
48201,2012,1,0
48201,2008,1,0
3651000,2009,1,0
48201,2000,1,0
48201,2000,1,0
12095,2020,1,0
48201,2012,1,0
25017,2018,0,1
17031,1990,1,0
06059,2018,1,0
3651000,2005,1,0
0FL-9,2016,0,0
06037,1994,1,0
FL-9 JUDICIAL CIRCUIT,2020,0,0
48201,2008,1,0
17031,2008,1,0
NV-CLARK,2018,0,0
26163,2006,1,0
12011,2012,1,0
12086,2020,1,0
12099,2020,1,0
06059,2018,1,0
39049,2020,1,0
25017,2004,1,0
12086,2016,1,0
17031,1998,0,1
53033,2010,1,0
48201,1996,1,0
06037,1992,1,0
25017,2012,1,0
48029,2020,1,0
48201,2004,1,0
48201,2000,1,0
26163,2018,1,0
48201,2004,1,0
1714000,1991,1,0
48113,2018,0,1
48113,2018,1,0
37183,2020,1,0
37183,2020,0,1
37183,2020,1,0
39035,2004,1,0
48113,2016,0,1
39035,2004,1,0
36029,2020,1,0
13121,2020,0,0
06059,2018,1,0
1714000,1999,1,0
1714000,1989,1,0
13121,2020,1,0
26163,2002,1,0
06059,2018,1,0
48113,2018,1,0
48439,2020,1,0
53033,2012,1,0
39035,2000,1,0
17031,2012,0,0
13121,2020,1,0
39035,2004,1,0
04013,2004,0,0
53033,2006,1,0
39035,2008,1,0
26125,2020,0,1
48201,2000,1,0
06073,1994,1,0
12057,2012,1,0
26125,2020,1,0
39049,2008,1,0
39035,2020,1,0
17031,1990,1,0
FL-020,2018,0,0
26125,2020,1,0
48201,1996,1,0
48453,2020,0,1
17031,2002,1,0
48113,2012,0,1
06037,2008,1,0
36061,2001,1,0
39035,2008,1,0
39035,2000,1,0
12086,2004,0,1
53033,2014,1,0
17031,1994,1,0
17031,2006,1,0
39049,2020,1,0
48453,2020,1,0
39049,2016,1,0
53033,2009,0,1
06059,2002,1,0
25017,2002,0,1
39049,2020,1,0
48201,1996,0,1
48113,2008,0,1
53033,2017,1,0
06037,2020,0,1
25017,2010,1,0
39035,2008,0,0
26125,2004,1,0
39035,2012,1,0
1714000,2019,0,1
12011,2012,1,0
06073,2018,0,1
48439,2016,1,0
17031,2004,1,0
26163,2010,1,0
25017,1992,1,0
48439,2020,1,0
12057,2020,1,0
53033,2013,1,0
27053,2002,0,1
39049,2012,1,0
39049,2012,1,0
06073,2010,0,1
25017,1990,1,0
06073,1998,1,0
25017,2006,1,0
39049,2004,1,0
12086,2016,0,1
53033,2005,0,1
26125,2016,1,0
06073,1998,1,0
25017,1994,1,0
26125,2008,1,0
39035,2000,0,1
37183,2020,1,0
37183,2020,0,1
48201,2018,0,1
53033,2002,1,0
53033,2013,1,0
