fips,FemaleCount,MaleCount,TotalCount,Years,ChiSquareStatistic,P-Value,Representation,FemaleRepresentation,FemaleRepresentationScore
1003,2,25,27,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2004, 2004, 2004, 2004, 2006, 2006, 2006, 2006, 2010, 2010, 2010, 2010, 2014, 2014, 2014, 2014, 2018, 2018, 2018, 2018]",19.59259259259259,9.584005666471275e-06,Low Gender Representation,0.07407407407407407,1
1015,0,4,4,"[2018, 2018, 2018, 2018, 2018]",4.0,0.04550026389635857,Low Gender Representation,0.0,0
1055,0,8,8,"[2016, 2016, 2018, 2018, 2018, 2018, 2020, 2020]",8.0,0.004677734981047276,Low Gender Representation,0.0,0
1069,0,4,4,"[2018, 2018, 2018, 2018]",4.0,0.04550026389635857,Low Gender Representation,0.0,0
1073,9,20,29,"[2002, 2002, 2002, 2002, 2002, 2006, 2006, 2006, 2006, 2006, 2007, 2008, 2008, 2010, 2010, 2010, 2010, 2010, 2010, 2014, 2014, 2014, 2014, 2014, 2018, 2018, 2018, 2018, 2018]",4.172413793103448,0.04108722452782139,Low Gender Representation,0.3103448275862069,3
1081,1,6,7,"[2012, 2012, 2018, 2018, 2018, 2020, 2020]",3.5714285714285716,0.05878172135535891,Low Gender Representation not Detected,0.14285714285714285,1
1089,1,12,13,"[2016, 2016, 2016, 2016, 2016, 2016, 2020, 2020, 2020, 2020, 2020, 2020, 2020]",9.307692307692308,0.002281937253315446,Low Gender Representation,0.07692307692307693,1
1097,6,7,13,"[2004, 2004, 2004, 2008, 2008, 2008, 2010, 2016, 2016, 2016, 2020, 2020, 2020]",0.07692307692307693,0.7815112949987134,Low Gender Representation not Detected,0.46153846153846156,5
1101,2,14,16,"[2008, 2008, 2008, 2008, 2008, 2010, 2016, 2016, 2016, 2016, 2016, 2020, 2020, 2020, 2020, 2020]",9.0,0.0026997960632601883,Low Gender Representation,0.125,1
1103,1,21,22,"[2002, 2002, 2004, 2004, 2004, 2006, 2006, 2008, 2008, 2010, 2010, 2010, 2012, 2012, 2014, 2014, 2016, 2016, 2018, 2018, 2020, 2020]",18.181818181818183,2.007865612426481e-05,Low Gender Representation,0.045454545454545456,0
1117,2,16,18,"[2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2016, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020]",10.88888888888889,0.0009674284502477464,Low Gender Representation,0.1111111111111111,1
1125,0,8,8,"[2016, 2016, 2016, 2016, 2020, 2020, 2020, 2020]",8.0,0.004677734981047276,Low Gender Representation,0.0,0
2020,1,4,5,"[2016, 2016, 2016, 2016, 2016]",1.8,0.17971249487899593,Low Gender Representation not Detected,0.2,2
4001,0,15,15,"[2004, 2004, 2004, 2008, 2008, 2008, 2012, 2012, 2012, 2016, 2016, 2016, 2020, 2020, 2020]",15.0,0.00010751117672950066,Low Gender Representation,0.0,0
4003,4,7,11,"[1992, 1992, 1992, 1996, 1996, 2016, 2016, 2016, 2020, 2020, 2020]",0.8181818181818182,0.36571229628151314,Low Gender Representation not Detected,0.36363636363636365,4
4005,12,9,21,"[1992, 1992, 2008, 2008, 2008, 2008, 2008, 2012, 2012, 2012, 2012, 2012, 2016, 2016, 2016, 2016, 2016, 2020, 2020, 2020, 2020, 2020]",0.42857142857142855,0.5126907602619235,Low Gender Representation not Detected,0.5714285714285714,6
4007,0,9,9,"[2012, 2012, 2012, 2016, 2016, 2016, 2020, 2020, 2020]",9.0,0.0026997960632601883,Low Gender Representation,0.0,0
4013,5,29,34,"[2000, 2000, 2000, 2000, 2000, 2004, 2004, 2004, 2004, 2004, 2008, 2008, 2008, 2008, 2008, 2012, 2012, 2012, 2012, 2012, 2013, 2014, 2014, 2016, 2016, 2016, 2016, 2016, 2020, 2020, 2020, 2020, 2020, 2021]",16.941176470588236,3.8556107156203535e-05,Low Gender Representation,0.14705882352941177,1
4015,6,13,19,"[2008, 2008, 2008, 2012, 2012, 2012, 2012, 2012, 2016, 2016, 2016, 2016, 2016, 2018, 2020, 2020, 2020, 2020, 2020]",2.5789473684210527,0.10829365589900916,Low Gender Representation not Detected,0.3157894736842105,3
4017,5,14,19,"[2008, 2008, 2008, 2008, 2012, 2012, 2012, 2012, 2012, 2016, 2016, 2016, 2016, 2016, 2020, 2020, 2020, 2020, 2020]",4.2631578947368425,0.03894745574202525,Low Gender Representation,0.2631578947368421,3
4019,13,21,34,"[1992, 1992, 1992, 1992, 1992, 2000, 2000, 2000, 2000, 2000, 2004, 2004, 2004, 2004, 2004, 2008, 2008, 2008, 2008, 2008, 2012, 2012, 2012, 2012, 2012, 2016, 2016, 2016, 2016, 2016, 2020, 2020, 2020, 2020, 2020]",1.8823529411764706,0.17006696145390077,Low Gender Representation not Detected,0.38235294117647056,4
4021,2,17,19,"[2000, 2000, 2000, 2008, 2008, 2008, 2012, 2012, 2012, 2016, 2016, 2016, 2016, 2016, 2020, 2020, 2020, 2020, 2020]",11.842105263157896,0.0005790632172192773,Low Gender Representation,0.10526315789473684,1
4025,4,13,17,"[2008, 2008, 2008, 2012, 2012, 2012, 2012, 2012, 2016, 2016, 2016, 2016, 2016, 2019, 2020, 2020, 2020, 2020, 2020]",4.764705882352941,0.029049022161940597,Low Gender Representation,0.23529411764705882,2
4027,2,13,15,"[2008, 2012, 2012, 2012, 2012, 2016, 2016, 2016, 2016, 2016, 2020, 2020, 2020, 2020, 2020]",8.066666666666666,0.004508698364904238,Low Gender Representation,0.13333333333333333,1
5007,7,5,12,"[1994, 1994, 1994, 1994, 1994, 1996, 1996, 2006, 2006, 2008, 2008, 2008]",0.3333333333333333,0.5637028616507731,Low Gender Representation not Detected,0.5833333333333334,6
5119,25,50,75,"[1990, 1990, 1990, 1990, 1990, 1990, 1992, 1992, 1992, 1992, 1992, 1992, 1994, 1994, 1994, 1994, 1994, 1994, 1994, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1998, 1998, 1998, 1998, 1998, 1998, 1998, 1998, 1998, 2000, 2000, 2000, 2002, 2002, 2002, 2004, 2004, 2004, 2006, 2006, 2008, 2008, 2008, 2010, 2010, 2010, 2010, 2010, 2010, 2010, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2016, 2016]",8.333333333333334,0.003892417122778637,Low Gender Representation,0.3333333333333333,3
5143,11,16,27,"[2008, 2008, 2008, 2010, 2010, 2010, 2010, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2014, 2014, 2014, 2014, 2014, 2014, 2016, 2016, 2016, 2016, 2016]",0.9259259259259259,0.3359238131517329,Low Gender Representation not Detected,0.4074074074074074,4
6001,13,28,41,"[1996, 1996, 1996, 1996, 1996, 1998, 1998, 2000, 2000, 2000, 2000, 2002, 2002, 2002, 2004, 2004, 2004, 2006, 2006, 2008, 2008, 2008, 2010, 2010, 2010, 2012, 2012, 2012, 2012, 2014, 2014, 2016, 2016, 2016, 2018, 2018, 2020, 2020, 2020, 2020, 2021]",5.487804878048781,0.019149571500766092,Low Gender Representation,0.3170731707317073,3
6007,17,22,39,"[1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1998, 1998, 2000, 2000, 2000, 2000, 2000, 2002, 2002, 2004, 2004, 2004, 2006, 2006, 2006, 2008, 2008, 2008, 2010, 2010, 2012, 2012, 2012, 2012, 2014, 2014, 2016, 2016, 2016, 2018, 2018, 2020, 2020, 2020]",0.6410256410256411,0.4233396415824435,Low Gender Representation not Detected,0.4358974358974359,4
6013,20,22,42,"[1996, 1996, 1996, 1996, 1996, 1998, 1998, 2000, 2000, 2000, 2000, 2000, 2002, 2002, 2004, 2004, 2004, 2004, 2006, 2006, 2008, 2008, 2008, 2008, 2010, 2010, 2012, 2012, 2012, 2014, 2014, 2016, 2016, 2016, 2016, 2016, 2018, 2018, 2020, 2020, 2020, 2020]",0.09523809523809523,0.7576207236833966,Low Gender Representation not Detected,0.47619047619047616,5
6017,18,32,50,"[1996, 1996, 1996, 1996, 1998, 1998, 2000, 2000, 2000, 2000, 2000, 2002, 2002, 2002, 2003, 2004, 2004, 2004, 2005, 2006, 2006, 2006, 2008, 2008, 2008, 2008, 2008, 2010, 2010, 2012, 2012, 2012, 2012, 2014, 2014, 2014, 2014, 2014, 2016, 2016, 2016, 2016, 2018, 2018, 2018, 2018, 2020, 2020, 2020, 2020, 2020]",3.92,0.04771488023735101,Low Gender Representation,0.36,4
6019,12,30,42,"[1996, 1996, 1996, 1996, 1998, 1998, 1998, 2000, 2000, 2000, 2000, 2002, 2002, 2002, 2004, 2004, 2004, 2004, 2006, 2006, 2008, 2008, 2008, 2010, 2010, 2010, 2012, 2012, 2012, 2014, 2014, 2014, 2014, 2016, 2016, 2016, 2018, 2018, 2019, 2020, 2020, 2020]",7.714285714285714,0.00547855324254737,Low Gender Representation,0.2857142857142857,3
6023,12,32,44,"[1996, 1996, 1996, 1996, 1998, 1998, 1998, 1998, 2000, 2000, 2000, 2000, 2002, 2002, 2002, 2004, 2004, 2004, 2006, 2006, 2006, 2008, 2008, 2008, 2008, 2010, 2010, 2010, 2010, 2010, 2012, 2012, 2012, 2014, 2014, 2016, 2016, 2016, 2018, 2018, 2020, 2020, 2020, 2020]",9.090909090909092,0.0025688315270227116,Low Gender Representation,0.2727272727272727,3
6025,4,41,45,"[1996, 1996, 1996, 1998, 1998, 1998, 2000, 2000, 2000, 2000, 2000, 2000, 2002, 2002, 2004, 2004, 2004, 2006, 2006, 2006, 2008, 2008, 2008, 2008, 2010, 2010, 2010, 2010, 2012, 2012, 2012, 2014, 2014, 2014, 2014, 2016, 2016, 2016, 2016, 2018, 2018, 2018, 2020, 2020, 2020]",30.42222222222222,3.475241498463514e-08,Low Gender Representation,0.08888888888888889,1
6029,7,34,41,"[1996, 1996, 1996, 1996, 1996, 1998, 1998, 2000, 2000, 2000, 2000, 2002, 2002, 2002, 2002, 2004, 2004, 2004, 2006, 2006, 2008, 2008, 2008, 2010, 2010, 2010, 2012, 2012, 2012, 2012, 2014, 2014, 2016, 2016, 2016, 2018, 2018, 2018, 2020, 2020, 2020]",17.78048780487805,2.4791268594989224e-05,Low Gender Representation,0.17073170731707318,2
6031,5,32,37,"[1996, 1996, 1996, 1998, 1998, 1998, 2000, 2000, 2000, 2002, 2002, 2002, 2002, 2004, 2004, 2006, 2008, 2008, 2008, 2008, 2010, 2010, 2010, 2012, 2012, 2012, 2014, 2014, 2014, 2014, 2016, 2016, 2018, 2018, 2018, 2020, 2020]",19.7027027027027,9.047331907067938e-06,Low Gender Representation,0.13513513513513514,1
6033,9,34,43,"[1996, 1996, 1996, 1996, 1998, 1998, 1998, 1998, 2000, 2000, 2000, 2000, 2002, 2002, 2004, 2004, 2004, 2004, 2006, 2006, 2006, 2008, 2008, 2008, 2008, 2010, 2010, 2012, 2012, 2012, 2014, 2014, 2014, 2014, 2016, 2016, 2016, 2016, 2016, 2018, 2018, 2020, 2020, 2020, 2020]",14.534883720930232,0.000137588130325423,Low Gender Representation,0.20930232558139536,2
6037,20,24,44,"[1990, 1991, 1992, 1992, 1992, 1994, 1994, 1996, 1996, 1996, 1996, 1998, 1998, 2000, 2000, 2000, 2002, 2002, 2004, 2004, 2004, 2006, 2006, 2008, 2008, 2008, 2008, 2010, 2010, 2012, 2012, 2012, 2014, 2014, 2014, 2016, 2016, 2016, 2016, 2016, 2018, 2018, 2020, 2020, 2020, 2020]",0.36363636363636365,0.5464935954065822,Low Gender Representation not Detected,0.45454545454545453,5
6039,6,33,39,"[1996, 1996, 1996, 1996, 1998, 1998, 1998, 1998, 1998, 2000, 2000, 2000, 2002, 2002, 2002, 2004, 2004, 2004, 2006, 2006, 2006, 2006, 2008, 2008, 2010, 2010, 2010, 2010, 2012, 2012, 2012, 2014, 2014, 2014, 2016, 2016, 2018, 2018, 2018, 2020, 2020]",18.692307692307693,1.5360089173081908e-05,Low Gender Representation,0.15384615384615385,2
6041,21,19,40,"[1996, 1996, 1996, 1996, 1998, 1998, 1998, 2000, 2000, 2000, 2002, 2002, 2002, 2004, 2004, 2004, 2004, 2006, 2006, 2006, 2008, 2008, 2008, 2010, 2010, 2011, 2012, 2012, 2012, 2014, 2014, 2016, 2016, 2016, 2016, 2018, 2018, 2020, 2020, 2020]",0.1,0.7518296340458492,Low Gender Representation not Detected,0.525,5
6045,13,35,48,"[1996, 1996, 1996, 1996, 1998, 1998, 1998, 2000, 2000, 2000, 2002, 2002, 2002, 2004, 2004, 2004, 2004, 2004, 2006, 2006, 2008, 2008, 2008, 2008, 2008, 2010, 2010, 2010, 2010, 2012, 2012, 2012, 2014, 2014, 2014, 2014, 2016, 2016, 2016, 2018, 2018, 2018, 2018, 2018, 2018, 2020, 2020, 2020, 2020, 2020]",10.083333333333334,0.0014961642897455517,Low Gender Representation,0.2708333333333333,3
6047,14,26,40,"[1996, 1996, 1996, 1998, 1998, 2000, 2000, 2000, 2002, 2002, 2002, 2004, 2004, 2004, 2004, 2006, 2006, 2008, 2008, 2008, 2008, 2010, 2010, 2012, 2012, 2012, 2012, 2014, 2014, 2014, 2016, 2016, 2016, 2016, 2016, 2018, 2018, 2020, 2020, 2020, 2020]",3.6,0.05777957112359715,Low Gender Representation not Detected,0.35,4
6053,11,28,39,"[1996, 1996, 1996, 1996, 1998, 1998, 1998, 2000, 2000, 2000, 2002, 2002, 2004, 2004, 2004, 2004, 2006, 2006, 2008, 2008, 2008, 2010, 2010, 2012, 2012, 2012, 2012, 2012, 2014, 2014, 2014, 2016, 2016, 2016, 2018, 2018, 2020, 2020, 2020, 2020]",7.410256410256411,0.00648530797067137,Low Gender Representation,0.28205128205128205,3
6055,10,30,40,"[1996, 1996, 1996, 1998, 1998, 1998, 2000, 2000, 2000, 2002, 2002, 2002, 2004, 2004, 2004, 2006, 2006, 2008, 2008, 2008, 2008, 2008, 2010, 2010, 2010, 2012, 2012, 2012, 2012, 2014, 2014, 2016, 2016, 2016, 2016, 2018, 2018, 2020, 2020, 2020]",10.0,0.001565402258002549,Low Gender Representation,0.25,2
6057,8,32,40,"[1996, 1996, 1996, 1998, 1998, 1998, 2000, 2000, 2000, 2000, 2000, 2002, 2002, 2002, 2002, 2004, 2004, 2004, 2004, 2004, 2006, 2006, 2008, 2008, 2008, 2008, 2010, 2010, 2012, 2012, 2012, 2014, 2014, 2016, 2016, 2016, 2018, 2018, 2020, 2020, 2020]",14.4,0.00014780231033445398,Low Gender Representation,0.2,2
6059,14,34,48,"[1996, 1996, 1996, 1996, 1998, 1998, 1998, 1998, 1998, 2000, 2000, 2002, 2002, 2002, 2003, 2004, 2004, 2006, 2006, 2006, 2006, 2007, 2008, 2008, 2010, 2010, 2010, 2010, 2012, 2012, 2014, 2014, 2014, 2014, 2014, 2015, 2016, 2016, 2016, 2018, 2018, 2018, 2018, 2019, 2020, 2020, 2020, 2021]",8.333333333333334,0.003892417122778637,Low Gender Representation,0.2916666666666667,3
6061,8,30,38,"[1996, 1996, 1996, 1996, 1998, 1998, 1998, 1998, 2000, 2000, 2000, 2002, 2002, 2004, 2004, 2004, 2004, 2006, 2006, 2006, 2008, 2008, 2008, 2008, 2010, 2010, 2012, 2012, 2012, 2014, 2014, 2016, 2016, 2016, 2018, 2018, 2020, 2020, 2020]",12.736842105263158,0.00035852252875322714,Low Gender Representation,0.21052631578947367,2
6065,2,39,41,"[1996, 1996, 1996, 1998, 1998, 1998, 2000, 2000, 2002, 2002, 2002, 2002, 2004, 2004, 2006, 2006, 2006, 2008, 2008, 2009, 2010, 2010, 2010, 2012, 2012, 2012, 2014, 2014, 2014, 2015, 2016, 2016, 2016, 2017, 2018, 2018, 2018, 2018, 2018, 2020, 2020]",33.390243902439025,7.540126507241664e-09,Low Gender Representation,0.04878048780487805,0
6067,16,20,36,"[1996, 1996, 1998, 1998, 1998, 1999, 2000, 2000, 2002, 2002, 2002, 2004, 2004, 2004, 2006, 2006, 2006, 2008, 2008, 2010, 2010, 2010, 2012, 2012, 2014, 2014, 2014, 2016, 2016, 2016, 2018, 2018, 2018, 2020, 2020, 2020]",0.4444444444444444,0.5049850750938457,Low Gender Representation not Detected,0.4444444444444444,4
6069,8,38,46,"[1996, 1996, 1996, 1996, 1996, 1998, 1998, 1998, 2000, 2000, 2000, 2000, 2002, 2002, 2002, 2004, 2004, 2004, 2004, 2006, 2006, 2006, 2008, 2008, 2008, 2010, 2010, 2010, 2012, 2012, 2012, 2014, 2014, 2014, 2016, 2016, 2016, 2018, 2018, 2018, 2018, 2020, 2020, 2020, 2020, 2020]",19.565217391304348,9.722321453020404e-06,Low Gender Representation,0.17391304347826086,2
6071,11,34,45,"[1996, 1996, 1996, 1996, 1996, 1998, 1998, 2000, 2000, 2000, 2000, 2000, 2002, 2002, 2002, 2004, 2004, 2004, 2004, 2004, 2006, 2006, 2008, 2008, 2008, 2010, 2010, 2010, 2012, 2012, 2012, 2012, 2012, 2014, 2014, 2016, 2016, 2016, 2016, 2018, 2018, 2020, 2020, 2020, 2020]",11.755555555555556,0.0006066190209832519,Low Gender Representation,0.24444444444444444,2
6073,21,31,52,"[1990, 1990, 1992, 1992, 1992, 1994, 1994, 1996, 1996, 1996, 1998, 1998, 2000, 2000, 2000, 2002, 2002, 2004, 2004, 2004, 2006, 2006, 2008, 2008, 2008, 2010, 2010, 2010, 2010, 2010, 2010, 2012, 2012, 2012, 2012, 2014, 2014, 2016, 2016, 2016, 2016, 2018, 2018, 2018, 2018, 2018, 2018, 2020, 2020, 2020, 2020, 2020, 2020]",1.9230769230769231,0.16551785869746605,Low Gender Representation not Detected,0.40384615384615385,4
6075,24,50,74,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2002, 2002, 2002, 2002, 2002, 2002, 2002, 2004, 2004, 2004, 2004, 2004, 2004, 2004, 2006, 2006, 2006, 2006, 2006, 2008, 2008, 2008, 2008, 2008, 2008, 2008, 2010, 2010, 2010, 2010, 2010, 2012, 2012, 2012, 2012, 2012, 2012, 2013, 2014, 2014, 2014, 2014, 2014, 2015, 2016, 2016, 2016, 2016, 2016, 2016, 2018, 2018, 2018, 2018, 2018, 2018, 2019, 2020, 2020, 2020, 2020, 2020, 2020]",9.135135135135135,0.0025074693935343085,Low Gender Representation,0.32432432432432434,3
6077,4,37,41,"[1996, 1996, 1996, 1996, 1998, 1998, 1998, 2000, 2000, 2002, 2002, 2002, 2002, 2004, 2004, 2004, 2006, 2006, 2006, 2008, 2008, 2008, 2008, 2010, 2010, 2012, 2012, 2012, 2012, 2014, 2014, 2016, 2016, 2016, 2016, 2016, 2018, 2018, 2020, 2020, 2020, 2020]",26.5609756097561,2.5534989161461907e-07,Low Gender Representation,0.0975609756097561,1
6079,11,28,39,"[1996, 1996, 1996, 1996, 1996, 1998, 1998, 1998, 1998, 2000, 2000, 2000, 2002, 2002, 2004, 2004, 2004, 2004, 2006, 2006, 2006, 2008, 2008, 2008, 2010, 2010, 2010, 2012, 2012, 2012, 2014, 2014, 2014, 2016, 2016, 2016, 2016, 2016, 2018, 2018, 2020, 2020, 2020]",7.410256410256411,0.00648530797067137,Low Gender Representation,0.28205128205128205,3
6081,11,27,38,"[1996, 1996, 1996, 1997, 1998, 1998, 2000, 2000, 2000, 2002, 2002, 2004, 2004, 2004, 2006, 2006, 2008, 2008, 2008, 2010, 2010, 2010, 2011, 2012, 2012, 2012, 2012, 2014, 2014, 2016, 2016, 2016, 2016, 2018, 2018, 2020, 2020, 2020]",6.7368421052631575,0.009444165687832655,Low Gender Representation,0.2894736842105263,3
6083,20,20,40,"[1996, 1996, 1996, 1996, 1998, 1998, 1998, 1998, 2000, 2000, 2000, 2002, 2002, 2002, 2004, 2004, 2004, 2006, 2006, 2006, 2008, 2008, 2008, 2008, 2010, 2010, 2012, 2012, 2012, 2012, 2014, 2014, 2016, 2016, 2016, 2016, 2018, 2018, 2020, 2020, 2020]",0.0,1.0,Low Gender Representation not Detected,0.5,5
6085,14,37,51,"[1990, 1990, 1992, 1992, 1992, 1994, 1994, 1996, 1996, 1996, 1996, 1996, 1997, 1997, 1998, 1998, 2000, 2000, 2000, 2000, 2002, 2002, 2004, 2004, 2004, 2006, 2006, 2008, 2008, 2008, 2008, 2008, 2010, 2010, 2010, 2012, 2012, 2012, 2013, 2013, 2014, 2014, 2016, 2016, 2016, 2018, 2018, 2018, 2020, 2020, 2020, 2020]",10.372549019607844,0.0012790283276835727,Low Gender Representation,0.27450980392156865,3
6087,10,31,41,"[1996, 1996, 1996, 1996, 1998, 1998, 2000, 2000, 2000, 2000, 2002, 2002, 2002, 2004, 2004, 2004, 2004, 2006, 2006, 2008, 2008, 2008, 2010, 2010, 2010, 2012, 2012, 2012, 2012, 2014, 2014, 2014, 2016, 2016, 2016, 2018, 2018, 2018, 2020, 2020, 2020, 2020]",10.75609756097561,0.001039363099133526,Low Gender Representation,0.24390243902439024,2
6089,14,28,42,"[1996, 1996, 1996, 1998, 1998, 2000, 2000, 2000, 2002, 2002, 2004, 2004, 2004, 2004, 2004, 2006, 2006, 2006, 2008, 2008, 2008, 2010, 2010, 2010, 2012, 2012, 2012, 2012, 2014, 2014, 2016, 2016, 2016, 2016, 2016, 2018, 2018, 2018, 2020, 2020, 2020, 2020]",4.666666666666667,0.03075356125927451,Low Gender Representation,0.3333333333333333,3
6095,12,25,37,"[1996, 1998, 1998, 2000, 2000, 2000, 2002, 2002, 2002, 2004, 2004, 2004, 2006, 2006, 2008, 2008, 2008, 2008, 2010, 2010, 2010, 2012, 2012, 2012, 2012, 2014, 2014, 2014, 2016, 2016, 2016, 2016, 2018, 2018, 2020, 2020, 2020]",4.5675675675675675,0.03258279838561265,Low Gender Representation,0.32432432432432434,3
6097,14,29,43,"[1996, 1996, 1996, 1996, 1998, 1998, 1998, 2000, 2000, 2000, 2002, 2002, 2002, 2004, 2004, 2004, 2006, 2006, 2008, 2008, 2008, 2008, 2008, 2008, 2010, 2010, 2010, 2012, 2012, 2012, 2012, 2014, 2014, 2014, 2016, 2016, 2016, 2016, 2018, 2018, 2020, 2020, 2020]",5.232558139534884,0.022167905752988753,Low Gender Representation,0.32558139534883723,3
6099,4,36,40,"[1996, 1996, 1996, 1998, 1998, 2000, 2000, 2000, 2002, 2002, 2004, 2004, 2004, 2004, 2006, 2006, 2006, 2006, 2008, 2008, 2008, 2010, 2010, 2012, 2012, 2012, 2014, 2014, 2016, 2016, 2016, 2018, 2018, 2018, 2018, 2020, 2020, 2020, 2020, 2020]",25.6,4.200393976022008e-07,Low Gender Representation,0.1,1
6101,4,33,37,"[1996, 1998, 1998, 2000, 2000, 2000, 2002, 2002, 2002, 2004, 2004, 2004, 2004, 2006, 2006, 2006, 2010, 2010, 2012, 2012, 2012, 2012, 2014, 2014, 2016, 2016, 2016, 2016, 2016, 2018, 2018, 2018, 2020, 2020, 2020, 2020, 2020]",22.72972972972973,1.864606348180602e-06,Low Gender Representation,0.10810810810810811,1
