fips	year	gender_est
1083	2006	M
1083	2002	M
1083	2014	M
1083	2010	M
1083	1998	M
1083	1994	M
2020	2018	M
2090	2021	M
2090	2018	M
2090	1997	M
2090	1994	M
2090	1991	M
2090	2006	M
2090	2003	M
2090	2015	M
2090	2009	M
2090	2012	M
2090	2000	F
2122	2020	M
2122	2017	M
2122	2002	M
2122	1999	M
2122	2008	M
2122	1993	M
2122	1990	M
2122	2005	M
2122	2014	M
2122	2011	M
2122	1996	M
2170	1994	F
2170	2006	M
2170	1997	F
2170	1991	M
2170	2021	F
2170	2012	M
2170	2011	M
2170	2003	M
2170	2000	M
2170	2009	M
2170	2018	M
2170	2015	M
5031	2014	M
5031	2010	M
5045	2012	M
5051	2014	M
5069	2012	M
5069	2002	M
5119	2014	M
5119	2018	M
5119	2008	M
5119	2006	M
5119	1998	M
5119	2010	M
5125	2014	M
5125	2012	M
5131	2012	M
5131	2006	M
5131	2002	M
5143	2008	F
5143	2014	F
5145	2002	M
5145	2008	M
5145	2014	M
5145	2010	M
5145	2006	M
8031	2019	M
8031	2015	M
10003	2008	M
10003	2004	M
10003	1992	M
10003	2020	M
10003	2016	M
10003	2010	M
10003	2012	M
10003	2000	M
10003	1996	M
12086	1996	M
12086	2000	M
12086	2004	M
12086	2008	M
12086	2016	M
12086	2012	M
12086	2011	M
12086	2020	F
13021	2020	M
13021	2012	M
13021	2013	M
13021	2016	M
13021	2012	M
13045	2008	M
13045	2004	M
13059	1998	M
13059	1994	F
13059	2002	F
13059	2006	F
13059	2018	M
13059	2014	F
13059	2010	F
13063	2008	NA
13063	2004	NA
13063	2012	M
13089	2008	M
13089	2012	M
13089	2013	M
13089	2020	M
13089	2016	M
13089	2004	M
13089	2000	M
13153	2014	M
13153	2010	M
13223	2012	M
13223	2016	M
15001	2000	M
15001	2016	M
15001	2004	M
15001	1990	M
15001	2020	M
15001	1992	M
15001	1996	M
15001	2008	M
15001	2012	M
15003	1992	M
15003	1996	M
15003	2000	M
15003	1994	M
15003	2020	M
15003	2012	M
15003	2016	M
15003	2010	M
15003	2008	M
15003	2004	M
15003	2020	M
15007	2002	M
15007	2006	M
15007	2010	M
15007	2008	M
15007	2014	M
15007	2018	M
15007	1990	F
15007	1998	F
15007	1994	F
15009	2014	M
15009	2010	M
15009	2002	M
15009	2006	F
15009	1998	M
15009	1994	F
15009	1990	F
15009	2018	M
17019	2018	F
17031	2006	F
17031	2002	M
17031	1998	M
17031	1994	M
17031	1990	M
17031	2006	M
17031	2018	F
17031	2014	F
17031	2010	F
17031	2010	M
17043	2014	M
17043	2010	M
17043	2006	M
17043	2002	M
17043	1998	M
17089	2012	M
17089	2020	F
17089	2008	F
17089	2004	F
17089	1992	M
17197	1996	M
17197	1992	M
17197	2020	F
17197	2000	M
17197	2012	M
17197	2008	M
17197	2016	M
17197	2012	M
17197	2004	M
17201	2016	M
17201	2020	M
17201	2000	F
17201	2008	M
18005	2010	M
18005	2014	M
18005	2006	M
18005	2012	M
18005	2008	M
18081	2012	M
18081	2008	M
18081	2014	M
18081	2010	M
18157	2012	M
18157	2008	M
18157	2010	M
18157	1998	M
18157	2006	M
18157	2002	M
18157	2000	F
18157	2004	F
18157	2014	M
20091	2002	F
20091	2006	F
20091	2018	M
20091	2014	M
20091	2010	M
20209	1997	F
20209	2001	F
20209	2017	M
20209	2005	M
20209	2009	M
20209	2013	M
20209	2021	M
21015	2018	M
21015	2014	M
21015	2010	M
21037	2010	M
21037	2002	M
21037	2006	M
21047	2014	M
21047	2010	M
21067	2018	M
21067	2010	M
21067	2014	M
21067	2006	F
21067	2002	F
21111	2010	M
21111	1993	M
21111	1989	M
21111	2006	M
21111	2002	M
21111	2018	F
21111	2014	F
21111	1998	F
21117	2018	M
21117	2014	M
21227	2014	M
21227	2010	M
22005	2019	M
22005	1999	M
22005	2015	M
22005	2003	M
22005	1995	M
22005	2011	M
22005	2007	M
22005	1993	M
22045	1991	M
22045	2007	M
22045	2011	M
22045	2019	M
22045	2015	M
22045	2003	M
22045	1993	M
22045	1995	M
22045	1999	M
22051	2003	M
22051	2007	M
22051	2019	F
22051	2010	M
22051	2011	M
22051	2015	M
22051	1991	M
22051	1995	M
22051	1999	M
22057	1995	M
22057	2019	M
22057	2003	F
22057	2007	F
22057	2011	F
22057	1999	M
22057	2015	M
22057	1991	M
22063	1995	M
22063	1999	M
22063	2011	M
22063	2015	M
22063	2019	M
22063	2003	M
22063	2007	M
22063	2010	M
22089	2003	M
22089	1999	M
22089	1991	M
22089	1995	M
22089	2015	M
22089	2019	M
22089	2011	NA
22089	2007	NA
22097	2007	M
22097	2003	M
22097	2021	M
22097	2020	M
22097	2011	M
22097	2019	NA
22097	2011	NA
22097	2015	NA
22099	2018	M
22099	2019	M
22099	1999	M
22099	2004	M
22099	2007	M
22099	2011	M
22099	2015	M
22099	1999	M
22099	2003	M
22103	2007	M
22103	1999	M
22103	2003	M
22103	2019	M
22103	2015	F
22103	2011	F
22105	2003	M
22105	1991	M
22105	1999	M
22105	1995	M
22105	2011	M
22105	2007	M
22105	2015	M
22105	2019	M
22105	1995	M
22109	1995	M
22109	1991	M
22109	2011	M
22109	2003	M
22109	2019	M
22109	2015	M
22109	2011	M
22109	2007	M
22109	1999	M
24003	1994	M
24003	2013	M
24003	2010	M
24003	2006	M
24003	2002	F
24003	1998	F
24003	1990	M
24003	2018	M
24003	2014	M
24005	2020	M
24005	2019	M
24005	2016	F
24005	2004	M
24005	1991	M
24005	1995	M
24005	2004	M
24005	1999	M
24005	2007	F
24005	2011	F
24005	2010	F
24015	2016	M
24015	2020	F
24015	2012	F
24017	2010	F
24017	2006	NA
24017	2004	NA
24017	2002	M
24017	2014	M
24017	2018	M
24021	2018	F
24021	2014	F
24025	2018	M
24025	2014	M
24025	2010	M
24025	2006	M
24025	2005	M
24025	1994	F
24025	1990	F
24025	2002	M
24025	1998	M
24027	2014	M
24027	2018	M
24027	1990	M
24027	1994	M
24027	2002	M
24027	1998	M
24027	2010	M
24027	2006	M
24031	1990	M
24031	2002	M
24031	1998	M
24031	1994	M
24031	2006	M
24031	2010	M
24031	2014	M
24031	2018	M
24031	1990	M
24033	2018	F
24033	2006	M
24033	2002	M
24033	1990	M
24033	2010	M
24033	2014	M
24033	1998	M
24033	1994	M
24045	2018	M
24045	2014	M
24045	2020	M
24045	2006	M
24045	2010	M
26017	2016	M
26017	2020	M
26017	2008	M
26017	2012	M
26017	2004	M
26099	2018	M
26099	2014	M
26099	2010	M
26125	2020	M
26125	2019	M
26125	2012	M
26125	2004	M
26125	2008	M
26125	2012	M
26125	2016	M
26125	2000	F
26125	1992	M
26125	1996	M
26163	2006	M
26163	2002	M
26163	2010	M
26163	2018	M
26163	2014	M
29077	2014	M
29077	2006	M
29077	2002	M
29077	1994	M
29077	1998	M
29077	2010	M
29095	2018	M
29095	2016	M
29095	1994	F
29095	2002	F
29095	1998	F
29095	1990	F
29095	2006	M
29095	2010	M
29095	2014	M
29097	2006	M
29097	2010	M
29099	2018	M
29099	2010	M
29099	2014	M
29183	1990	M
29183	2002	M
29183	1994	M
29183	1998	M
29183	2018	M
29183	2010	M
29183	2006	M
29183	2014	M
29189	2004	M
29189	2006	M
29189	2010	M
29189	2003	M
29189	1994	M
29189	2002	M
29189	1998	M
29189	1990	M
29189	1989	NA
29189	2020	M
29189	2019	M
29189	2018	M
29189	2014	M
29510	2017	F
34001	2011	M
34001	2007	M
34001	2003	M
34001	2015	M
34001	2019	M
34001	1999	M
34001	1991	M
34001	1995	M
34003	2006	M
34003	2002	M
34003	1994	M
34003	2018	M
34003	2014	M
34003	2010	F
34003	1994	M
34003	1990	M
34003	1998	M
34013	2018	M
34013	2006	M
34013	2010	M
34013	2002	M
34013	2014	M
34013	1994	M
34013	1998	M
34013	1990	M
34017	2002	M
34017	2015	M
34017	2019	M
34017	1991	M
34017	1995	M
34017	1999	M
34017	2002	M
34017	2019	M
34017	2003	M
34017	2007	M
34017	2011	M
34017	2015	M
34021	2019	M
34021	2007	M
34021	2011	M
34021	2003	M
34021	2015	M
34021	1991	M
34021	1999	M
34021	1995	M
36001	2019	M
36001	2011	M
36001	2015	M
36001	2007	M
36001	2003	M
36001	1999	M
36001	1995	M
36001	1991	M
36007	2008	F
36007	2004	F
36007	2012	F
36007	2011	F
36007	2020	M
36007	2000	M
36007	1996	M
36007	1992	M
36013	1989	M
36013	1993	M
36013	2005	M
36013	2009	M
36013	1997	M
36013	2001	M
36013	2021	M
36013	2020	M
36013	2013	M
36015	1990	NA
36015	2014	M
36027	2019	M
36027	2011	M
36027	2015	M
36027	1991	M
36027	2007	M
36027	1999	M
36027	2003	M
36029	2007	M
36029	1991	M
36029	1995	M
36029	1999	M
36029	2003	M
36029	2011	M
36029	2019	M
36029	2015	M
36055	2019	M
36055	2015	F
36055	1995	M
36055	1999	M
36055	2003	F
36055	2011	F
36055	2007	F
36055	2007	M
36055	1991	M
36059	2021	M
36059	2013	M
36059	2009	M
36059	2017	F
36059	1997	M
36059	1989	M
36059	1993	M
36059	2001	M
36059	2005	M
36065	2011	M
36065	2019	M
36065	2007	M
36065	2015	M
36065	2003	M
36065	1999	M
36067	2007	F
36067	2011	F
36067	2015	F
36067	1991	M
36067	2003	M
36067	2019	M
36067	2018	M
36071	2005	M
36071	2001	M
36071	2009	M
36071	1989	F
36071	2021	M
36071	2017	M
36071	2013	M
36079	2018	F
36079	2014	F
36079	2011	F
36079	1994	M
36079	1998	M
36079	2002	M
36079	2006	M
36079	1990	M
36079	2010	M
36083	1997	M
36083	1989	M
36083	1993	M
36083	2001	F
36083	2005	F
36083	2013	F
36083	2009	F
36083	2021	M
36083	2017	M
36087	1993	M
36087	2001	M
36087	2005	M
36087	2009	M
36087	1997	M
36087	2017	M
36087	2013	M
36087	2021	M
36103	1991	M
36103	1999	M
36103	2019	M
36103	2011	M
36103	2015	M
36103	2007	M
36103	2003	M
36103	2010	M
36111	2019	F
36111	2008	M
36111	2011	M
36111	2015	M
36119	1989	M
36119	1993	M
36119	2001	M
36119	1997	M
36119	2005	M
36119	2017	M
36119	2021	M
36119	2013	M
36119	2009	M
39035	2018	M
39035	2014	M
39035	2010	M
39153	2016	F
39153	2004	M
39153	2000	M
39153	2012	M
39153	2008	M
39153	1992	M
39153	1996	M
42003	2007	M
42003	2003	M
42003	1999	M
42003	2019	M
42003	2015	M
42003	2011	M
42049	2009	M
42049	1989	F
42049	1993	F
42049	1997	F
42049	2013	F
42049	2005	M
42049	2001	M
42077	1989	M
42077	2005	M
42077	2009	M
42077	1997	F
42077	1993	F
42077	2001	F
42077	2021	M
42077	2017	M
42077	2013	M
42095	1993	M
42095	1997	M
42095	2001	M
42095	1989	M
42095	2013	M
42095	2005	M
42095	2009	M
47009	1998	M
47009	2002	F
47009	2014	M
47009	2010	M
47009	2006	M
47065	1998	M
47065	1994	M
47065	2010	M
47065	2002	M
47065	2006	M
47065	1990	M
47065	2014	M
47065	2012	M
47065	2018	M
47065	2011	M
47125	2010	F
47125	2002	M
47125	2014	M
47125	1994	M
47157	2002	M
47157	2006	M
47157	1990	M
47157	2009	M
47157	1994	M
47157	1998	M
47157	2018	M
47157	2010	M
47157	2014	M
48061	2014	M
48061	2010	M
48061	2018	M
48061	2016	M
48085	2018	M
48085	2014	M
48085	2010	M
48121	2018	M
48121	2014	F
48121	2010	F
48141	2006	M
48141	2002	F
48141	1998	F
48141	2018	M
48141	2014	F
48141	2010	F
48157	2018	NA
48157	2010	M
48157	2014	M
48427	2014	M
48427	2002	M
48427	2006	M
48427	2010	M
48427	1998	F
48439	2018	M
48439	2014	M
48439	2010	M
48439	2006	M
48439	2002	M
48439	1998	M
49035	2004	M
49035	2016	M
49035	2012	M
49035	2020	F
49035	2019	F
49035	2000	F
49035	2008	M
53033	2017	M
53033	2013	M
53033	2009	M
53033	2021	M
53033	1993	M
53033	1997	M
53033	2005	M
53033	2001	M
53033	1996	M
53033	1989	M
53053	2020	M
53053	2016	M
53053	1996	M
53053	1992	M
53053	2004	M
53053	2000	M
53053	2012	F
53053	2008	F
53061	2011	M
53061	2007	M
53061	2003	M
53061	1999	M
53061	1995	M
53061	1991	M
53061	2019	M
53061	2015	M
53061	2013	M
53073	2015	F
53073	2015	M
53073	2011	M
53073	2007	M
53073	1999	M
53073	2003	M
53073	1995	M
53073	2019	M
53073	1991	F
55025	2011	M
55025	2021	M
55025	2017	M
55025	2013	M
55025	2009	F
55025	2001	F
55025	2005	F
55025	2010	M
55079	2016	M
55079	2011	M
55079	2012	M
55079	2020	M
55079	2020	M
55079	2010	M
