fips,geoname,num_M,num_F,f_winner,m_winner,num_seats,percent_women,female_representation,f_representation_score
01003,baldwin,30,5,2,25,27,0.513715171733308,0.14419288771274436,1
01015,calhoun,4,0,0,4,4,0.518915004624056,0.0,0
01055,etowah,8,1,0,8,8,0.517615914665006,0.0,0
01069,houston,4,0,0,4,4,0.520639529330863,0.0,0
01073,jefferson,34,11,9,20,29,0.526993390734902,0.588897001447068,3
01081,lee,8,1,1,6,7,0.506968576250993,0.2817869776339279,1
01089,madison,13,1,1,12,13,0.511601651779306,0.1503573662351268,1
01097,mobile,11,8,6,7,13,0.523399353801127,0.8818093835741143,4
01101,montgomery,15,2,2,14,16,0.528295900696657,0.23660982384145723,1
01103,morgan,32,2,1,21,22,0.507503376309631,0.08956501094647565,0
01117,shelby,17,3,2,16,18,0.515789572322801,0.21541945993738215,1
01125,tuscaloosa,10,1,0,8,8,0.517590024360242,0.0,0
02020,anchorage,11,2,1,4,5,0.490104963359918,0.4080758509950575,2
04001,apache,22,0,0,15,15,0.508397309504831,0.0,0
04003,cochise,12,9,4,7,11,0.491788951830106,0.7394154795124106,4
04005,coconino,20,15,12,9,21,0.506002519925818,1.129299853116038,6
04007,gila,13,2,0,9,9,0.504967691330818,0.0,0
04013,maricopa,38,11,5,29,34,0.505507749242863,0.29091309430898504,1
04015,mohave,15,11,6,13,19,0.494720623991911,0.6383187972559111,3
04017,navajo,15,6,5,14,19,0.499212958726091,0.5271455600999974,3
04019,pima,40,18,13,21,34,0.507727264319655,0.7530675779029049,4
04021,pinal,23,8,2,17,19,0.478693047253537,0.2198969851320711,1
04025,yavapai,20,4,4,13,17,0.511327811564146,0.46016295676798175,2
04027,yuma,23,8,2,13,15,0.485167185441213,0.2748193557486363,1
05007,benton,12,10,7,5,12,0.503313152141602,1.1589868670255183,6
05119,pulaski,103,47,25,50,75,0.521855524764166,0.638746391511274,3
05143,washington,33,19,11,16,27,0.500983688422612,0.8132149146215975,4
06001,alameda,51,25,13,28,41,0.508366963351228,0.623709236810975,3
06007,butte,59,26,17,22,39,0.505196685811963,0.8628271881808808,4
06013,contra costa,48,32,20,22,42,0.51105142389895,0.9317858319569678,5
06017,el dorado,84,37,18,32,50,0.501906524609812,0.7172650331251784,4
06019,fresno,65,19,12,30,42,0.501132022577477,0.5701377538094028,3
06023,humboldt,66,24,12,32,44,0.502898337501839,0.542310945154547,3
06025,imperial,81,10,4,41,45,0.48671009014892,0.1826321062332842,1
06029,kern,73,17,7,34,41,0.487582254537589,0.35015980530093516,2
06031,kings,61,9,5,32,37,0.449237180720813,0.30081021993394946,2
06033,lake,67,23,9,34,43,0.503621777396994,0.4155942712866583,2
06037,los angeles,75,32,20,24,44,0.507082527820568,0.8963934460512436,4
06039,madera,68,11,6,33,39,0.517657125578223,0.2971970175708636,1
06041,marin,41,34,21,19,40,0.511600620135953,1.0261910938663177,5
06045,mendocino,67,25,13,35,48,0.504241951756397,0.5371098782835406,3
06047,merced,46,24,14,26,40,0.495224443772984,0.7067502511254141,4
06053,monterey,54,22,11,28,39,0.490087907524053,0.5755116127557978,3
06055,napa,57,16,10,30,40,0.501493306976644,0.49851113967437904,2
06057,nevada,60,19,8,32,40,0.506801418725565,0.3946318865936341,2
06059,orange,85,35,14,34,48,0.506373017546473,0.5759917226235275,3
06061,placer,56,17,8,30,38,0.511916619975513,0.41125118344378814,2
06065,riverside,65,16,2,39,41,0.50197371776769,0.09717737418964499,0
06067,sacramento,47,20,16,20,36,0.51133414187634,0.8691859354698204,4
06069,san benito,67,22,8,38,46,0.500612826288591,0.34740029488977625,2
06071,san bernardino,80,27,11,34,45,0.502210065838976,0.4867374452881254,2
06073,san diego,72,32,21,31,52,0.496538526142217,0.8133228996021258,4
06075,san francisco,291,117,24,50,74,0.489936122867191,0.661972671919601,3
06077,san joaquin,65,17,4,37,41,0.501547933417991,0.19451974399513397,1
06079,san luis obispo,63,22,11,28,39,0.493183066645403,0.5718997693286091,3
06081,san mateo,56,19,11,27,38,0.505711973709414,0.5724082071603472,3
06083,santa barbara,43,36,20,20,40,0.499450350584157,1.0011005086195257,5
06085,santa clara,71,24,14,37,51,0.494455426024789,0.5551760370565868,3
06087,santa cruz,75,25,10,31,41,0.504916740277849,0.4830547683766118,2
06089,shasta,64,23,14,28,42,0.508699194250385,0.6552660926159527,3
06095,solano,48,23,12,25,37,0.502481729356833,0.6454450089945624,3
06097,sonoma,63,37,14,29,43,0.511687329422217,0.6362897352109044,3
06099,stanislaus,57,10,4,36,40,0.505018464857859,0.19801256183404248,1
06101,sutter,54,9,4,33,37,0.501961314757203,0.2153713940294376,1
06103,tehama,46,16,5,28,33,0.502863312054074,0.3013048434499011,2
06107,tulare,68,18,6,36,42,0.499963195337499,0.2857353184982096,1
06109,tuolumne,78,15,8,38,46,0.479840873346286,0.36243899413035896,2
06111,ventura,49,25,19,20,39,0.505335415331485,0.9640715303120244,5
06113,yolo,43,15,7,30,37,0.514897493466819,0.3674307829998806,2
06115,yuba,64,22,6,35,41,0.489916186485071,0.2987071410409371,1
08001,adams,35,22,12,17,29,0.49514786514001,0.8356960265420311,4
08005,arapahoe,37,37,23,15,38,0.505150800546109,1.1981831113410062,6
08013,boulder,38,19,13,11,24,0.497035750829432,1.0897941762997057,5
08031,denver,31,23,13,13,26,0.499258761635883,1.0014846777284152,5
08035,douglas,25,14,7,18,25,0.500867453673808,0.5590301345120963,3
08037,eagle,19,13,8,7,15,0.468553976701231,1.138253776199211,6
08041,el paso,48,22,13,20,33,0.495112836815103,0.7956557872211023,4
08045,garfield,22,3,0,13,13,0.490153246973161,0.0,0
08059,jefferson,31,19,10,16,26,0.501717124972599,0.7665980798171682,4
08067,la plata,18,11,7,7,14,0.496574788284158,1.0068976754290675,5
08069,larimer,24,11,5,12,17,0.501139837464398,0.5868973589227343,3
08077,mesa,38,13,10,14,24,0.506665873110344,0.8223697090723993,4
08101,pueblo,25,7,3,14,17,0.507549011338579,0.3476917190122808,2
08123,weld,78,27,15,39,54,0.494689613388135,0.5615193249667696,3
10001,kent,91,9,1,56,57,0.517829755686223,0.03387958968459403,0
10003,new castle,106,22,16,70,86,0.515990758138322,0.3605617129639236,2
10005,sussex,48,10,3,29,32,0.516445022818026,0.18152948689183834,1
12001,alachua,38,21,14,16,30,0.516958443055571,0.9027160169942361,5
12005,bay,34,7,0,17,17,0.503016562271836,0.0,0
12009,brevard,34,22,15,12,27,0.510830784260479,1.0875530071270545,5
12011,broward,54,38,35,30,65,0.513009778294626,1.0496126219104838,5
12015,charlotte,24,9,3,14,17,0.511423948041333,0.345057342174035,2
12017,citrus,25,2,1,11,12,0.514538227858565,0.16195751612111473,1
12019,clay,20,4,1,13,14,0.506615264539628,0.14099174744266751,1
12021,collier,33,16,8,19,27,0.507485469224909,0.5838517834783221,3
12031,duval,3,5,1,3,4,0.514963906745027,0.48547091694288774,2
12033,escambia,30,5,1,15,16,0.505067131113812,0.12374592633294174,1
12053,hernando,27,8,2,14,16,0.519872472666964,0.24044358294014995,1
12057,hillsborough,76,52,28,38,66,0.511296666333867,0.8297382951552477,4
