fips,year,gender_est
1003,2018,M
1003,2018,M
1003,2018,F
1003,2018,M
1003,2004,M
1003,2004,M
1003,2004,M
1003,2010,M
1003,2010,M
1003,2010,M
1003,2004,M
1003,2010,M
1003,2014,M
1003,2014,M
1003,2014,M
1003,2014,M
1003,2006,M
1003,2006,M
1003,2006,M
1003,2006,M
1003,2000,M
1003,2000,M
1003,2000,M
1003,2000,F
1003,2000,M
1003,2000,M
1003,2000,M
1015,2018,M
1015,2018,NA
1015,2018,M
1015,2018,M
1015,2018,M
1055,2020,M
1055,2020,M
1055,2016,M
1055,2018,M
1055,2016,M
1055,2018,M
1055,2018,M
1055,2018,M
1069,2018,M
1069,2018,M
1069,2018,M
1069,2018,M
1073,2008,M
1073,2018,F
1073,2018,F
1073,2018,M
1073,2010,M
1073,2018,M
1073,2002,M
1073,2006,M
1073,2010,M
1073,2018,M
1073,2010,F
1073,2010,M
1073,2002,M
1073,2002,F
1073,2010,M
1073,2002,F
1073,2002,F
1073,2014,M
1073,2014,F
1073,2006,F
1073,2014,M
1073,2006,M
1073,2006,F
1073,2014,M
1073,2006,M
1073,2014,M
1073,2008,M
1073,2010,M
1073,2007,M
1081,2018,M
1081,2020,M
1081,2020,M
1081,2012,F
1081,2012,M
1081,2018,M
1081,2018,M
1089,2020,M
1089,2020,M
1089,2020,M
1089,2020,M
1089,2020,M
1089,2020,M
1089,2016,M
1089,2016,M
1089,2016,M
1089,2016,M
1089,2020,F
1089,2016,M
1089,2016,M
1097,2020,F
1097,2008,F
1097,2008,M
1097,2016,F
1097,2020,M
1097,2016,M
1097,2020,F
1097,2016,F
1097,2008,M
1097,2004,M
1097,2004,M
1097,2010,F
1097,2004,M
1101,2020,M
1101,2008,M
1101,2020,M
1101,2008,M
1101,2016,M
1101,2020,M
1101,2008,M
1101,2016,M
1101,2016,M
1101,2016,M
1101,2008,M
1101,2020,M
1101,2008,M
1101,2016,F
1101,2020,F
1101,2010,M
1103,2020,M
1103,2016,M
1103,2016,M
1103,2008,M
1103,2012,M
1103,2012,M
1103,2008,M
1103,2018,M
1103,2018,M
1103,2010,M
1103,2010,M
1103,2010,M
1103,2004,F
1103,2004,M
1103,2004,M
1103,2014,M
1103,2014,M
1103,2006,M
1103,2002,M
1103,2002,M
1103,2006,M
