fips,FemaleCount,MaleCount,TotalCount,Years,ChiSquareStatistic,P-Value,Representation,FemaleRepresentation,FemaleRepresentationScore
1083,0,6,6,"[1994, 1998, 2002, 2006, 2010, 2014]",6.0,0.014305878435429641,Low Gender Representation,0.0,0
2020,0,1,1,[2018],1.0,0.31731050786291115,Low Gender Representation not Detected,0.0,0
2090,1,10,11,"[1991, 1994, 1997, 2000, 2003, 2006, 2009, 2012, 2015, 2018, 2021]",7.363636363636363,0.006655605482949389,Low Gender Representation,0.09090909090909091,1
2122,0,11,11,"[1990, 1993, 1996, 1999, 2002, 2005, 2008, 2011, 2014, 2017, 2020]",11.0,0.0009111188771537126,Low Gender Representation,0.0,0
2170,3,9,12,"[1991, 1994, 1997, 2000, 2003, 2006, 2009, 2011, 2012, 2015, 2018, 2021]",3.0,0.08326451666355042,Low Gender Representation not Detected,0.25,2
5031,0,2,2,"[2010, 2014]",2.0,0.15729920705028105,Low Gender Representation not Detected,0.0,0
5045,0,1,1,[2012],1.0,0.31731050786291115,Low Gender Representation not Detected,0.0,0
5051,0,1,1,[2014],1.0,0.31731050786291115,Low Gender Representation not Detected,0.0,0
5069,0,2,2,"[2002, 2012]",2.0,0.15729920705028105,Low Gender Representation not Detected,0.0,0
5119,0,6,6,"[1998, 2006, 2008, 2010, 2014, 2018]",6.0,0.014305878435429641,Low Gender Representation,0.0,0
5125,0,2,2,"[2012, 2014]",2.0,0.15729920705028105,Low Gender Representation not Detected,0.0,0
5131,0,3,3,"[2002, 2006, 2012]",3.0,0.08326451666355042,Low Gender Representation not Detected,0.0,0
5143,2,0,2,"[2008, 2014]",2.0,0.15729920705028105,Low Gender Representation not Detected,1.0,10
5145,0,5,5,"[2002, 2006, 2008, 2010, 2014]",5.0,0.025347318677468325,Low Gender Representation,0.0,0
8031,0,2,2,"[2015, 2019]",2.0,0.15729920705028105,Low Gender Representation not Detected,0.0,0
10003,0,9,9,"[1992, 1996, 2000, 2004, 2008, 2010, 2012, 2016, 2020]",9.0,0.0026997960632601883,Low Gender Representation,0.0,0
12086,1,7,8,"[1996, 2000, 2004, 2008, 2011, 2012, 2016, 2020]",4.5,0.033894853524689295,Low Gender Representation,0.125,1
13021,0,5,5,"[2012, 2012, 2013, 2016, 2020]",5.0,0.025347318677468325,Low Gender Representation,0.0,0
13045,0,2,2,"[2004, 2008]",2.0,0.15729920705028105,Low Gender Representation not Detected,0.0,0
13059,5,2,7,"[1994, 1998, 2002, 2006, 2010, 2014, 2018]",1.2857142857142858,0.2568392579578533,Low Gender Representation not Detected,0.7142857142857143,7
13063,0,1,1,"[2004, 2008, 2012]",1.0,0.31731050786291115,Low Gender Representation not Detected,0.0,0
13089,0,7,7,"[2000, 2004, 2008, 2012, 2013, 2016, 2020]",7.0,0.008150971593502705,Low Gender Representation,0.0,0
13153,0,2,2,"[2010, 2014]",2.0,0.15729920705028105,Low Gender Representation not Detected,0.0,0
13223,0,2,2,"[2012, 2016]",2.0,0.15729920705028105,Low Gender Representation not Detected,0.0,0
15001,0,9,9,"[1990, 1992, 1996, 2000, 2004, 2008, 2012, 2016, 2020]",9.0,0.0026997960632601883,Low Gender Representation,0.0,0
15003,0,11,11,"[1992, 1994, 1996, 2000, 2004, 2008, 2010, 2012, 2016, 2020, 2020]",11.0,0.0009111188771537126,Low Gender Representation,0.0,0
15007,3,6,9,"[1990, 1994, 1998, 2002, 2006, 2008, 2010, 2014, 2018]",1.0,0.31731050786291115,Low Gender Representation not Detected,0.3333333333333333,3
15009,3,5,8,"[1990, 1994, 1998, 2002, 2006, 2010, 2014, 2018]",0.5,0.47950012218695337,Low Gender Representation not Detected,0.375,4
17019,1,0,1,[2018],1.0,0.31731050786291115,Low Gender Representation not Detected,1.0,10
17031,4,6,10,"[1990, 1994, 1998, 2002, 2006, 2006, 2010, 2010, 2014, 2018]",0.4,0.5270892568655381,Low Gender Representation not Detected,0.4,4
17043,0,5,5,"[1998, 2002, 2006, 2010, 2014]",5.0,0.025347318677468325,Low Gender Representation,0.0,0
17089,3,2,5,"[1992, 2004, 2008, 2012, 2020]",0.2,0.6547208460185768,Low Gender Representation not Detected,0.6,6
17197,1,8,9,"[1992, 1996, 2000, 2004, 2008, 2012, 2012, 2016, 2020]",5.444444444444445,0.019630657257290702,Low Gender Representation,0.1111111111111111,1
17201,1,3,4,"[2000, 2008, 2016, 2020]",1.0,0.31731050786291115,Low Gender Representation not Detected,0.25,2
18005,0,5,5,"[2006, 2008, 2010, 2012, 2014]",5.0,0.025347318677468325,Low Gender Representation,0.0,0
18081,0,4,4,"[2008, 2010, 2012, 2014]",4.0,0.04550026389635857,Low Gender Representation,0.0,0
18157,2,7,9,"[1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014]",2.7777777777777777,0.09558070454562936,Low Gender Representation not Detected,0.2222222222222222,2
20091,2,3,5,"[2002, 2006, 2010, 2014, 2018]",0.2,0.6547208460185768,Low Gender Representation not Detected,0.4,4
20209,2,5,7,"[1997, 2001, 2005, 2009, 2013, 2017, 2021]",1.2857142857142858,0.2568392579578533,Low Gender Representation not Detected,0.2857142857142857,3
21015,0,3,3,"[2010, 2014, 2018]",3.0,0.08326451666355042,Low Gender Representation not Detected,0.0,0
21037,0,3,3,"[2002, 2006, 2010]",3.0,0.08326451666355042,Low Gender Representation not Detected,0.0,0
21047,0,2,2,"[2010, 2014]",2.0,0.15729920705028105,Low Gender Representation not Detected,0.0,0
21067,2,3,5,"[2002, 2006, 2010, 2014, 2018]",0.2,0.6547208460185768,Low Gender Representation not Detected,0.4,4
21111,3,5,8,"[1989, 1993, 1998, 2002, 2006, 2010, 2014, 2018]",0.5,0.47950012218695337,Low Gender Representation not Detected,0.375,4
21117,0,2,2,"[2014, 2018]",2.0,0.15729920705028105,Low Gender Representation not Detected,0.0,0
21227,0,2,2,"[2010, 2014]",2.0,0.15729920705028105,Low Gender Representation not Detected,0.0,0
22005,0,8,8,"[1993, 1995, 1999, 2003, 2007, 2011, 2015, 2019]",8.0,0.004677734981047276,Low Gender Representation,0.0,0
