state,value
Alabama,6
Alaska,0
Arizona,7
Arkansas,1
California,4
Colorado,4
Connecticut,1
Delaware,3
Florida,1
Georgia,4
Hawaii,0
Idaho,1
Illinois,2
Indiana,0
Iowa,0
Kansas,5
Kentucky,5
Louisiana,2
Maine,5
Maryland,7
Massachusetts,8
Michigan,6
Minnesota,6
Mississippi,2
Missouri,8
Montana,6
Nebraska,6
Nevada,3
New Hampshire,3
New Jersey,6
New Mexico,3
New York,3
North Carolina,5
North Dakota,7
Ohio,0
Oklahoma,4
Oregon,1
Pennsylvania,8
Rhode Island,5
South Carolina,0
South Dakota,3
Tennessee,7
Texas,3
Utah,2
Vermont,5
Virginia,2
Washington,0
West Virginia,2
Wisconsin,6
Wyoming,6
